z,n,a,qBminus2n,B2,E2plus,Sn,q2Bminus,qEC,halflife,S2n,Sp,dqA,q2EC,qBminusn,qBminus,S2p,qECp,qBplus,qA
23,23,46,-39796.63412,,,13260.7735,-24658.149,7052.3723,0.42262,29410.454,5354.6018,-298.0477999999998,4685.7463,-25632.4135,-7604.3264,13837.8041,-3292.5467,6030.3745,-7379.8098
23,24,47,-38634.90512,,,13002.4908,-19440.6935,2930.5422,1956,26263.2643,5167.7715,-208.61794999999984,2329.7728,-20606.8172,-7443.9769,15512.6905,-7534.3975,1908.5444,-8243.8356
23,25,48,-31149.07112,,,10542.2534,-15181.361,4014.9467,1380153.6,23544.7442,6829.3642,214.29424999999992,26.0782,-17986.2303,-1656.6918,17294.3039,-7430.1336,2992.9489,-9086.8859
23,26,49,-29541.70012,,,11555.4698,-10342.2312,601.8555,28512000,22097.7232,6758.1761,80.82124999999996,-1399.7096,-13212.1616,-2629.8047,18203.2564,-10747.0446,-420.1423,-9314.7513
23,27,50,-22544.563119999995,,,9332.4013,-6596.3536,2208.6274,8.465611560835857e+24,20887.8711,7948.1988,563.2950999999994,-4686.1196,-11962.2061,1038.124,19297.0989,-9949.764,1186.6295999999998,-9886.5127
23,28,51,-23013.389120000003,,,11051.1834,-3959.88,-2470.1402,STABLE,20383.5847,8060.209,1178.41305,-8952.7524,-10013.0593,-752.3907,20218.6003,-14954.9559,-3492.138,-10291.1787
23,29,52,-17324.304119999997,,,7311.2445,-731.6452,-1965.334,224.57999999999998,18362.4278,8999.0377,735.15715,-10919.4712,-8063.6352,3976.4763,21483.8534,-15481.6499,-2987.3318,-9363.8644
23,30,53,-16543.596120000006,,,8479.9613,2838.6747,-4970.2419,92.22,15791.2058,9662.9484,-172.68814999999995,-13082.1204,-4503.4851,3435.9426,23179.2643,-18617.0856,-5992.2397,-7714.1438
23,31,54,-10621.395119999996,,,6117.9103,5659.9793,-4154.4548,49.8,14597.8717,10305.8052,-284.0770999999995,-15460.3337,-2681.9677,7037.1118,23952.6489,-18417.6838,-5176.4526000000005,-7786.0627
23,32,55,-9980.154119999996,,,7298.1868,8587.406,-7292.6673,6.54,13416.0971,10670.2947,-262.7046499999997,-18283.0281,-261.075,5985.1877,24933.5236,-21976.1735,-8314.6651,-8299.699
23,33,56,-5390.658119999996,,,5129.5826,10728.2654,-6760.4051,0.218,12427.7694,11639.9029,-562.3525999999997,-20667.5521,855.6051,9101.727,26323.4091,-22630.2638,-7782.4029,-8084.756
23,34,57,-5467.375120000001,,,6322.9807,13051.216,-10033.2148,0.34700000000000003,11452.5633,12301.0388,-820.7789500000003,-23055.4105,2778.7463,8089.9214,28170.8975,-26208.1858,-11055.2126,-8090.4245
23,35,58,-1288.0921200000048,,,4066.8385,15396.9847,-9512.9152,0.192,10389.8192,13317.7063,-1050.3653999999997,-24951.0146,4023.083,11561.224,29492.6773,-26339.902,-10534.913,-8417.566
23,36,59,-1228.268119999997,,,5251.3515,17914.7114,-11731.0,0.096,9318.19,13981.9196,-1253.9671499999995,-26781.0666,6309.8725,10505.3137,30808.9065,-29420.0191,-12752.9978,-9193.4251
23,37,60,2761.769879999996,,,3548.1026,19880.5443,-10987.704,0.122,8799.4541,14497.0,-1165.0427500000003,-28537.0,6957.2111,13821.0986,32185.7747,-29546.8222,-12009.7018,-9996.469
23,38,61,1796.1738799999985,,,5161.0378,21565.0084,-13807.0,0.04820000000000001,8709.1404,15366.3948,-996.3770999999996,-30677.0,8660.0609,12319.3807,33925.513,-32916.0,-14828.9978,-11222.3845
23,39,62,5552.69988,,,3107.3603,23310.801,-13013.0,0.033600000000000005,8268.3981,16132.0,-901.8171000000002,-32524.0,9212.0204,15639.4478,35241.0,-33002.0,-14034.9978,-12158.5104
23,40,63,4613.724880000002,,,4598.2954,25146.9197,-15880.0,0.019600000000000003,7705.6557,16829.0,-464.7468500000005,-34810.0,11041.1524,14438.1586,36818.0,-36339.0,-16901.9978,-13335.5063
23,41,64,8389.974879999998,,,2651.0,26669.0,-14840.0,0.015,7249.0,17749.0,-415.5,,11787.0,17320.0,38208.0,-36679.0,-15861.9978,-14194.0
23,42,65,7925.66288,,,3862.0,28857.0,-17320.0,,6513.0,17919.0,-319.5,,13458.0,16200.0,39758.0,,-18341.9978,-15035.0
23,43,66,11197.341880000004,,,2261.0,30451.0,,,6123.0,18799.0,-270.0,,13939.0,18840.0,,,,-16035.0
23,44,67,10423.36388,,,3515.0,31837.0,,,5776.0,,-31.5,,15325.0,17526.0,,,,-17238.0
24,17,41,,,,,,20100.0,,,-651.0,-621.0,36108.0,,,-3332.0,22114.0,19078.0022,-7185.0
24,18,42,,,,21421.0,,14679.0,0.013300000000000001,,539.0,-770.0,32164.0,,,-1475.0,15468.0,13657.0022,-6735.0
24,19,43,,,,17101.0,,15946.0,0.0211,38523.0,1639.0,-344.5,27345.0,,-19340.0,851.0,15845.0,14924.0022,-6895.0
24,20,44,,,,19523.0,,10386.1805,0.0428,36624.0,2794.512,-79.10855000000038,24126.6876,-38863.0,-20882.0,2895.4874,8604.7212,9364.1827,-6853.3757
24,21,45,-53027.43712,,,14164.221,-33923.0,12371.64,0.0609,33687.0,2995.6935,-709.3327499999996,19495.4647,-35046.0,-14535.0,4777.1528,10744.8136,11349.6422,-6242.1787
24,22,46,-53074.20612,0.2874099242549902,892.16,18028.0871,-30682.0,7604.3264,0.24430000000000002,32192.3081,4874.1001,-318.8359999999998,14656.6987,-32563.0,-17053.8226,6500.9265,2249.7246,6582.3286,-6792.1331
24,23,47,-45725.72912,,,13162.8404,-27433.0,7443.9769,0.4606,31190.9275,4776.1669,-189.29529999999977,10374.5191,-30216.663,-11996.7167,10130.7687,2276.2054,6421.9791,-7672.4178
24,24,48,-46546.20112,0.3516350028202139,752.16,16329.5384,-24812.7377,1656.6918,77616,29492.3788,8103.2146,-119.0275999999999,5671.6385,-28326.2551,-13524.6692,13270.9861,-5172.6724,634.6940000000001,-7697.6429
24,25,49,-38908.61212,,,10582.3569,-20581.6222,2629.8047,2538,26911.8953,8143.3181,353.4772500000004,3231.6603,-24107.0261,-7712.4265,14972.6823,-4128.3714,1607.8069,-8747.0017
24,26,50,-37107.35612,0.2902598453205098,783.31,13000.3301,-15784.9043,-1038.124,STABLE,23582.6869,9588.1783,69.92169999999987,1170.5034,-20712.7566,-7634.4776,16346.3544,-8986.3228,-2060.1218,-8558.0106
24,27,51,-29973.426119999996,,,9260.6686,-11261.5292,752.3907,2393314.56,22260.9987,9516.4456,241.19775000000027,-1717.7495,-16895.1462,-3207.4893,17464.6444,-7307.8182,-269.60709999999995,-8938.0185
24,28,52,-28935.25812,0.2123178960250525,1434.091,12040.1115,-7087.4126,-3976.4763,STABLE,21300.7801,10505.3737,869.4505000000004,-5941.8103,-15247.6007,-4708.1214,18565.5827,-12975.514,-4998.474099999999,-9351.4721
24,29,53,-23187.029120000003,,,7939.4277,-4340.1343,-3435.9426,STABLE,19979.5392,11133.5569,914.6030999999998,-8406.1845,-12647.5491,-597.2679,20132.5947,-13098.891,-4457.9404,-9148.5212
24,30,54,-22366.62812,0.2505006935391364,834.855,9719.0796,-680.7637,-7037.1118,STABLE,17658.5072,12372.6752,141.80994999999984,-11191.5667,-10316.3474,-1377.1325,22035.6236,-17342.9171,-8059.1096,-7928.4276
24,31,55,-16562.61012,,,6246.2627,2371.0979,-5985.1877,209.88000000000002,15965.3422,12501.0275,-88.63759999999957,-13277.855,-7623.3952,2602.2183,22806.8328,-16655.4824,-7007.1855000000005,-7802.2745
24,32,56,-15869.517119999991,0.2215286983527142,1006.83,8246.1219,5322.0357,-9101.727,356.40000000000003,14492.3846,13448.9626,-160.3083999999999,-15862.1321,-5643.9036,1626.5384,24119.2573,-20741.6299,-10123.7248,-8232.3457
24,33,57,-10955.07912,,,5311.1752,7657.0321,-8089.9214,21.1,13557.2971,13630.5551,-375.98324999999977,-18123.1363,-3684.6368,4961.2946,25270.4581,-20390.9603,-9111.9192,-8068.4674
24,34,58,-11222.77812,0.2443678930578785,880.7,7538.141,10163.4634,-11561.224,7,12849.3162,14845.7155,-319.12685000000056,-21074.1391,-2576.8464,3835.7607,27146.7543,-24878.9303,-12583.2218,-8672.9111
24,35,59,-6772.288119999994,,,4195.4413,12549.0267,-10505.3137,1.05,11733.5823,14974.3182,-618.1180999999997,-22236.0,-359.6806,7409.3977,28292.0246,-24487.2334,-11527.3115,-8708.378
24,36,60,-7223.56812,0.2635463169169262,643.9,6863.8875,14504.6739,-13821.0986,0.49,11059.3288,16586.8543,-287.7734499999997,-24808.8026,545.5102,6059.4457,30568.7739,-28318.0,-14843.0964,-9910.4207
24,37,61,-3113.8101199999983,,,3659.3198,16424.0007,-12319.3807,0.243,10523.2073,16698.0714,-313.3730500000001,-26126.0,2400.1258,9245.6277,31195.0,-27685.7755,-13341.3785,-10519.5695
24,38,62,-4027.301119999993,,446.0,6427.4274,18025.4452,-15639.4478,0.20600000000000002,10086.7473,17964.4611,359.8538500000004,-28653.0,2818.2002,7671.3532,33330.8559,-31772.0,-16661.4456,-12359.8588
24,39,63,-578.8051200000009,,,3397.0061,19457.3296,-14438.1586,0.129,9824.4336,18254.107,384.4840000000004,-30318.0,4274.3471,10708.7611,34386.0,-31267.0,-15460.1564,-12724.0
24,40,64,-1258.6491200000055,0.2874007863263518,429.0,5532.9966,21329.5739,-17320.0,0.043000000000000003,8930.0028,19188.8082,641.5981499999998,-32160.0,5175.7645,9349.0622,36018.0,-35069.0,-18341.9978,-13965.1963
24,41,65,2434.4248800000023,,,2741.0,22908.0,-16200.0,0.028,8274.0,19279.0,525.5,-33520.0,6608.0,12657.0,37028.0,-34119.0,-17221.9978,-14365.0
24,42,66,1706.4038800000017,,386.0,4901.0,24928.0,-18840.0,0.024,7643.0,20319.0,595.0,,7756.0,11610.0,38238.0,-37639.0,-19861.9978,-15365.0
24,43,67,5554.707879999998,,,2201.0,26439.0,-17526.0,,7102.0,20259.0,375.0,,9409.0,14311.0,39058.0,,-18547.9978,-15835.0
24,44,68,4917.755880000001,,,4492.0,28207.0,,,6693.0,21235.0,325.0,,9819.0,13230.0,,,,-16635.0
24,45,69,7807.363880000001,,,2011.0,29569.0,,,6503.0,,240.0,,11219.0,15730.0,,,,-17265.0
24,46,70,7137.363880000001,,,4082.0,31250.0,,,6093.0,,,,11648.0,14810.0,,,,
25,18,43,,,,,,19340.0,,,-3021.0,-775.0,35286.0,,,-2481.0,17700.0,18318.0022,-7625.0
25,19,44,,,,17981.0,,20882.0,1.05e-7,,-2141.0,-360.5,31268.0,,,-502.0,18088.0,19860.0022,-7434.0
25,20,45,,,,20511.0,,14535.0,,38492.0,-1153.0,245.0,26907.0,,-19388.0,1641.0,11539.0,13513.0022,-7715.0
25,21,46,,,,15509.0,,17053.8226,0.0362,36021.0,191.9175,-186.7855500000001,24658.149,-34897.0,-13628.0,3187.611,12179.7225,16031.8248,-7223.0
25,22,47,-53117.01212,,,18219.9463,-33186.0,11996.7167,0.088,33729.0,383.7767,-62.8758499999999,19440.6935,-31848.0,-15437.0,5257.8768,7220.5497,10974.718900000002,-7074.9344
25,23,48,-46649.28012,,,14801.5859,-31026.0,13524.6692,0.15769999999999998,33021.5322,2022.5222,220.61515000000009,15181.361,-30238.0,-11288.0685,6798.6892,5421.4546,12502.6714,-7913.4808
25,24,49,-46632.56112,,,16394.5996,-27840.0,7712.4265,0.38210000000000005,31196.1855,2087.5834,347.0168000000004,10342.2312,-27682.668,-12869.1957,10190.798,-430.8916,6690.4287,-8158.3999
25,25,50,-40760.94712,,,13078.279,-25037.4833,7634.4776,0.28319,29472.8786,4583.5055,83.90419999999995,6596.3536,-25947.4747,-8150.4267,12726.8236,-1953.7008,6612.4798,-7975.9054
25,26,51,-39635.13112,,,13687.6569,-20901.0789,3207.4893,2750.4,26765.9359,5270.8323,224.69235000000023,3959.88,-21838.0836,-8054.04,14859.0107,-6308.9564,2185.4915,-8661.0715
25,27,52,-32377.563120000003,,,10539.4793,-16367.4079,4708.1214,483062.4,24227.1362,6549.6431,452.1251499999999,731.6452,-18593.5193,-2379.2912,16066.0887,-5797.2523,3686.1236,-8658.2974
25,28,53,-30643.80112,,,12050.2812,-12030.9738,597.2679,114238512000000,22589.7606,6559.8128,1036.4424,-2838.6747,-14429.5724,-3742.8664,17065.1866,-10536.2891,-424.72989999999993,-9153.1088
25,29,54,-23368.78812,,,8939.2149,-7548.179,1377.1325,26965440.000000004,20989.4962,7559.6001,1022.9804000000004,-5659.9793,-12682.0813,696.3688,18693.157,-10995.5427,355.13469999999995,-8759.9225
25,30,55,-22907.69512,,,10225.6135,-3682.5458,-2602.2183,STABLE,19164.8284,8066.134,496.07040000000006,-8587.406,-9529.2447,-231.1204,20438.8092,-15103.2458,-3624.2161,-7934.3526
25,31,56,-16799.68712,,,7270.442,-871.1482,-1626.5384,9283.68,17496.0555,9090.3133,364.9313500000003,-10728.2654,-7501.5624,3695.4973,21591.3408,-15075.501,-2648.5362,-7893.5501
25,32,57,-16147.493120000005,,,8645.9314,1859.3786,-4961.2946,85.4,15916.3733,9490.1227,111.35244999999986,-13051.216,-4950.4341,2695.7375,22939.0854,-18591.8497,-5983.2924,-8059.5201
25,33,58,-11363.041119999998,,,6412.6071,4019.7241,-3835.7607,3,15058.5385,10591.5547,166.23499999999967,-15396.9847,-3716.8696,6327.7027,24222.1099,-18681.4762,-4857.7585,-8354.2169
25,34,59,-11485.94712,,,7769.0782,6704.5095,-7409.3977,4.59,14181.6854,10822.4919,36.98400000000038,-17914.7114,-1441.3756,5139.629,25668.2074,-22383.7159,-8431.3955,-8825.1083
25,35,60,-6955.311120000002,,,5513.9355,8682.4916,-6059.4457,0.28,13283.0137,12140.9862,-19.97525000000041,-19880.5443,-374.3064,8445.2283,27115.3044,-22646.2999,-7081.4435,-9209.4612
25,36,61,-7219.809119999994,,,6845.5018,11156.0489,-9245.6277,0.709,12359.4373,12122.6005,-68.00454999999965,-21565.0084,1599.7264,7178.373,28709.4548,-25943.6991,-10267.625499999998,-9731.9824
25,37,62,-3253.4271199999966,,,4853.153,12900.4347,-7671.3532,0.092,11698.6548,13316.4337,104.4022500000001,-23310.801,2325.22,10354.092,30014.5051,-25635.8143,-8693.350999999999,-10518.2968
25,38,63,-4109.194120000004,,,6434.4141,14964.4923,-10708.7611,0.277,11287.5671,13323.4203,420.8603499999999,-25146.9197,3919.6779,8748.5685,31287.8814,-28962.8681,-11730.7589,-11701.3594
25,39,64,-253.61911999999936,,,4173.2977,16803.4014,-9349.0622,0.09,10607.7118,14099.7119,624.0441499999997,-26669.0,4575.2708,11980.5117,32353.8188,-28537.8704,-10371.06,-12326.5545
25,40,65,-1474.3511199999955,,,6049.6219,18217.8612,-12657.0,0.0917,10222.9197,14616.3372,686.0597499999994,-28857.0,5930.8897,10250.5576,33805.1454,-31937.0,-13678.9978,-13215.1387
25,41,66,2076.5238800000043,,,3854.3662,19658.1488,-11610.0,0.0639,9903.9881,15729.0,881.3288000000002,-30451.0,6396.1914,13317.4543,35009.0,-31929.0,-12631.9978,-13962.1446
25,42,67,1495.2658800000029,,,4901.0,21741.0,-14311.0,0.047,8756.0,15729.0,525.5,-31837.0,8416.0,12128.0,36048.0,-34570.0,-15332.9978,-14265.0
25,43,68,5005.210880000002,,,3411.0,22722.0,-13230.0,0.0339,8312.0,16939.0,610.0,,8717.0,14977.0,37198.0,-34465.0,-14251.9978,-15025.0
25,44,69,4205.779879999998,,,4511.0,25026.0,-15730.0,0.0221,7922.0,16959.0,319.5,,10466.0,13839.0,38194.0,,-16751.9978,-15674.0
25,45,70,7304.363880000001,,,3161.0,26075.0,-14810.0,0.019899999999999998,7673.0,18109.0,530.0,,10678.0,16440.0,,,-15831.9978,-16575.0
25,46,71,6436.363880000001,,,4241.0,27750.0,,,7402.0,18268.0,467.5,,12199.0,15310.0,,,,-17301.0
25,47,72,9577.36388,,,2621.0,29131.0,,,6862.0,,,,12689.0,18080.0,,,,
25,48,73,9087.36388,,,3602.0,31269.0,,,6223.0,,,,14478.0,17289.0,,,,
26,19,45,,,,,,19388.0,0.0026000000000000003,,341.0,62.0,33923.0,,,-1800.0,20541.0,18366.0022,-8427.0
26,20,46,,,,21269.0,,13628.0,0.013900000000000001,,1099.0,590.5,30682.0,,,-54.0,13436.0,12606.0022,-8275.0
26,21,47,,,,16411.0,,15437.0,0.0219,37680.0,2001.0,319.5,27433.0,,-17750.0,2193.0,15053.0,14415.0022,-7584.0
26,22,48,,,969.5,18950.0,-36187.0,11288.0685,0.0455,35361.0,2731.1704,17.69835000000012,24812.7377,-36700.0,-19738.0,3114.9471,9265.5462,10266.0707,-7011.5928
26,23,49,-51513.36611999999,,,14813.4724,-33280.0,12869.1957,0.06470000000000001,33764.0,2743.0569,177.91534999999976,20581.6222,-34552.0,-14971.0,4765.5791,10781.6123,11847.1979,-7660.8442
26,24,50,-52349.09612,0.3087769975284176,764.9,17797.048,-31017.0,8150.4267,0.152,32610.5204,4145.5053,101.51854999999978,15784.9043,-32768.0,-16887.0566,6233.0887,3566.9212,7128.4289,-7429.8051
26,25,51,-46551.82111999999,,,13784.0436,-28539.0,8054.04,0.305,31581.0916,4851.2699,239.65830000000005,11261.5292,-30671.1002,-12847.0389,9434.7754,2783.2076,7032.0422,-8051.0084
26,26,52,-46885.328120000006,0.2299611872822927,849.45,16214.2281,-25772.2397,2379.2912,29782.8,29998.2718,7377.8411,-32.38565000000017,7087.4126,-29061.267,-13988.1167,12648.6735,-4170.3519,1357.2934,-7935.6981
26,27,53,-39747.97312,,,10686.706,-21316.6559,3742.8664,510.59999999999997,26900.9341,7525.0678,239.3269,4340.1343,-24674.8227,-8288.1073,14074.7109,-2816.9464,2720.8686,-8040.0472
26,28,54,-38053.27212,0.2030296730176456,1408.19,13378.4501,-16976.3035,-696.3688,STABLE,24065.1561,8853.2367,1009.4977,680.7637,-21666.5575,-8244.5478,15413.0495,-8255.9689,-1718.3665999999998,-8418.1672
26,29,55,-30964.68212,,,9298.1243,-12145.4604,231.1204,86972745.6,22676.5745,9212.1461,1177.6479,-2371.0979,-17542.6721,-3451.4254,16771.7462,-7835.0136,-790.8774,-8455.623
26,30,56,-28739.73112,0.2500758068861815,846.7778,11197.0596,-6699.5143,-3695.4973,STABLE,20495.184,10183.5922,660.7876000000001,-5322.0357,-14648.485,-4566.6455,18249.7262,-12785.8106,-4717.4951,-7612.5711
26,31,57,-22294.65712,,,7646.1716,-4098.0559,-2695.7375,STABLE,18843.2312,10559.3218,427.19344999999976,-7657.0321,-12212.817,-836.3589,19649.6351,-12185.8602,-3717.7353,-7319.315
26,32,58,-22257.389120000003,0.2623192650961038,810.7662,10044.5723,-1926.3997,-6327.7027,STABLE,17690.7439,11957.9628,314.3615500000001,-10163.4634,-10880.9312,-2307.9785,21448.0855,-16919.2574,-7349.7005,-7644.8077
26,33,59,-17461.93512,,,6581.0046,491.8754,-5139.629,3844368,16625.5769,12126.3603,353.3499499999998,-12549.0267,-8888.9832,1564.8804,22717.915,-15962.121,-6161.6268,-7979.5497
26,34,60,-17708.518119999997,0.2242010518199856,823.83,8819.5347,3060.0691,-8445.2283,82348894490400,15400.5394,13176.8168,221.09349999999995,-14504.6739,-7254.6543,237.2633,23999.3087,-20586.2145,-9467.2261,-8552.9625
26,35,61,-12833.301119999993,,,5578.6466,5301.5263,-7178.373,361.8,14398.1813,13241.5278,95.11214999999991,-16424.0007,-5341.3833,3977.6759,25382.514,-19300.9735,-8200.370799999999,-8820.4339
26,36,62,-13370.256120000002,0.2288759697167051,877.31,8028.8719,7868.3831,-10354.092,68,13607.5185,14424.898,-120.99389999999948,-18025.4452,-4051.196,2546.3427,26547.4985,-23670.5256,-11376.0898,-9311.1648
26,37,63,-8880.086120000004,,,4828.8906,9877.2624,-8748.5685,6.1,12857.7625,14400.6356,-293.68034999999963,-19457.3296,-2282.5479,6215.9238,27717.0692,-22071.9888,-9770.5663,-9944.6142
26,38,64,-9687.789120000003,0.2963091812837631,746.4,7405.2409,12129.4819,-11980.5117,2,12234.1315,15371.4624,-216.6093499999997,-21329.5739,-1189.3171,4822.8898,28694.8827,-26080.2235,-13002.509499999998,-10485.9676
26,39,65,-5508.985120000001,,,4319.6679,13907.8947,-10250.5576,0.803,11724.9088,15517.8325,-19.677200000000084,-22908.0,503.2219,7967.3036,29617.5444,-24866.8947,-11272.5554,-11146.3156
26,40,66,-6418.041119999998,,574.4,6921.2629,15938.4467,-13317.4543,0.47200000000000003,11240.9308,16389.4735,34.60674999999992,-24928.0,1046.0407,6340.6944,31005.8107,-29047.0,-14339.4521,-11640.1511
26,41,67,-2665.847119999995,,,3711.8871,18034.2725,-12128.0,0.398,10633.15,16246.9944,-83.85190000000057,-26439.0,2628.8074,9613.3678,31976.0,-27857.0,-13149.9978,-11955.032
26,42,68,-3631.0951200000018,,522.0,6260.0,19567.0,-14977.0,0.186,9972.0,17605.0,-36.0,-28207.0,3354.0,7746.0,33335.0,-31916.0,-15998.9978,-12682.0
26,43,69,-19.853119999996125,,,3374.0,20780.0,-13839.0,0.162,9633.0,17568.0,-10.0,-29569.0,4372.0,11186.0,34507.0,-30798.0,-14860.9978,-13314.0
26,44,70,-1390.0451199999989,,480.0,5762.0,22324.0,-16440.0,0.0615,9136.0,18819.0,-30.0,-31250.0,5424.0,9635.0,35778.0,-34549.0,-17461.9978,-14175.0
26,45,71,2312.810880000001,,,3111.0,23476.0,-15310.0,0.034,8873.0,18769.0,174.5,,6524.0,12440.0,36878.0,-33579.0,-16331.9978,-15085.0
26,46,72,1132.3268800000042,,,5391.0,24976.0,-18080.0,0.019,8503.0,19919.0,310.0,,7049.0,11050.0,38188.0,,-19101.9978,-15985.0
26,47,73,4237.293880000001,,,2811.0,26118.0,-17289.0,0.0129,8203.0,20109.0,500.0,,8239.0,13980.0,,,-18310.9978,-16785.0
26,48,74,3497.363880000001,,,4741.0,28041.0,,0.008199999999999999,7552.0,21248.0,399.5,,9239.0,12881.0,,,,-17444.0
26,49,75,7127.363880000001,,,2112.0,29540.0,,,6853.0,,,,10769.0,15861.0,,,,
26,50,76,6807.363880000001,,,3962.0,31600.0,,,6073.0,,,,11899.0,15070.0,,,,
27,20,47,,,,,,17750.0,,,-2121.0,,33186.0,,,-1022.0,15749.0,16728.0022,-9175.0
27,21,48,,,,16961.0,,19738.0,,,-1570.0,1060.5,31026.0,,-16448.0,430.0,17007.0,18716.0022,-8155.0
27,22,49,,,,19581.0,,14971.0,,36542.0,-940.0,720.0,27840.0,-36029.0,-18309.0,1791.0,12228.0,13949.0022,-7225.0
27,23,50,-51910.03912,,,15881.0,,16887.0566,0.0388,35462.0,127.6444,760.7855500000001,25037.4833,-34190.0,-14130.0,2870.7013,12741.5513,15865.0588,-7596.5711
27,24,51,-52014.78212,,,17824.0613,,12847.0389,0.0688,33705.0,154.6577,241.25695,20901.0789,-31954.0,-15692.0,4300.163,7995.769,11825.0411,-7200.6861
27,25,52,-47026.61512,,,15073.1503,-32464.0,13988.1167,0.111,32897.2116,1443.7644,380.7903500000002,16367.4079,-30765.0,-11784.123,6295.0343,6610.2756,12966.1189,-7472.2505
27,26,53,-47152.01212,,,16386.7154,-29520.0,8288.1073,0.244,31459.8657,1616.2517,194.9060999999997,12030.9738,-28170.8383,-13028.5485,8994.0928,763.0395,7266.1095,-7464.3663
27,27,54,-41592.84812,,,13422.0097,-26770.0,8244.5478,0.19327000000000003,29808.7251,4351.5554,862.69895,7548.179,-26450.5582,-8731.7558,11876.6232,-608.689,7222.55,-7808.097
27,28,55,-40541.80512,,,14091.2467,-22394.5935,3451.4254,63108.00000000001,27513.2564,5064.3519,1729.1563999999998,3682.5458,-22823.0025,-8694.035,13917.5886,-5760.7207,2429.4276,-8211.6868
27,29,56,-32904.84212,,,10081.8396,-17410.7851,4566.6455,6673190.4,24173.0863,5848.0672,1512.1934,871.1482,-18775.8746,-2132.8689,15060.2133,-5616.9468,3544.6476999999995,-7754.0471
27,30,57,-30152.33312,,,11376.4582,-12036.6437,836.3589,23483520,21458.2977,6027.4657,1008.4517,-1859.3786,-13509.3271,-3261.697,16211.0579,-9722.963,-185.63890000000004,-7080.224
27,31,58,-22082.279120000003,,,8572.9526,-8179.4415,2307.9785,6124291.199999999,19949.4108,6954.2468,674.3975500000001,-4019.7241,-11834.6497,381.5789,17513.5686,-9649.9842,1285.9807,-6713.9617
27,32,59,-22288.51312,,,10453.8636,-5871.3836,-1564.8804,STABLE,19026.8162,7363.538,583.63285,-6704.5095,-10072.2847,-1073.005,19321.5008,-13691.2407,-2586.8782,-6942.2118
27,33,60,-17564.202119999998,,,7491.9176,-3305.1753,-237.2633,166340109.6,17945.7812,8274.451,482.3953999999999,-8682.4916,-8564.9226,2822.8058,20400.8113,-13414.0801,-1259.2611,-7163.6874
27,34,61,-17883.982119999997,,,9319.0592,-914.116,-3977.6759,5940,16810.9768,8773.9755,523.2003500000001,-11156.0489,-6496.2534,1323.8504,21950.7922,-17219.2038,-4999.6737,-7836.8152
27,35,62,-13093.792119999996,,,6597.5388,1363.1439,-2546.3427,90.6,15916.5979,9792.8677,381.4706000000001,-12900.4347,-5273.6884,5322.0404,23034.3955,-16971.2407,-3568.3405,-8021.7469
27,36,63,-13772.160119999997,,,8498.4717,3728.3153,-6215.9238,26.9,15096.0105,10262.4674,429.1118999999994,-14964.4923,-3176.4313,3661.3385,24687.3654,-20616.5594,-7237.9216,-8751.1403
27,37,64,-9188.63812,,,6012.2068,5631.9765,-4822.8898,0.3,14510.6785,11445.7837,524.9473000000007,-16803.4014,-2350.8683,7306.5921,25846.4192,-20194.3521,-5844.8876,-9249.4117
27,38,65,-9814.950119999998,,,7464.0817,8078.4719,-7967.3036,1.16,13476.2885,11504.6245,446.02999999999975,-18217.8612,-157.4896,5940.5911,26876.0868,-23485.1361,-8989.3014,-9867.9915
27,39,66,-5452.143119999997,,,5294.6538,9849.748,-6340.6944,0.2,12758.7355,12479.6104,658.3684499999999,-19658.1488,645.9373,9597.7522,27997.4429,-22730.168,-7362.6922,-10309.4923
27,40,67,-6338.62312,,,6984.5604,11997.7701,-9613.3678,0.329,12279.2142,12542.9079,522.6858999999995,-21741.0,2613.1918,8420.9047,28932.3814,-25860.3622,-10635.3656,-10859.6387
27,41,68,-1778.9341199999944,,,4392.1252,13924.4524,-7746.0,0.222,11376.6856,13223.146,256.5673000000006,-22722.0,4028.7795,11821.2318,29470.1404,-25351.0,-8767.9978,-11078.4662
27,42,69,-2785.3951199999974,,,6814.175,15350.7734,-11186.0,0.21,11206.3002,13778.0,408.0529999999999,-25026.0,5007.0568,9593.2084,31383.0,-28754.0,-12207.9978,-11843.0192
27,43,70,796.2228799999975,,,4210.8339,16451.4172,-9635.0,0.114,11025.0089,14615.0,146.6609499999995,-26075.0,5382.3745,12688.9049,32183.0,-28454.0,-10656.9978,-12199.487
27,44,71,-533.9101199999968,,,5916.285,18341.2042,-12440.0,0.08,10127.1189,14769.0,344.3975499999997,-27750.0,6772.62,11036.3053,33588.0,-31209.0,-13461.9978,-13214.0
27,45,72,2771.231880000003,,,4002.0,19483.0,-11050.0,0.0519,9918.0,15659.0,349.5,-29131.0,7035.0,13926.0,34428.0,-30969.0,-12071.9978,-13805.0
27,46,73,1293.599879999998,,,5741.0,21018.0,-13980.0,0.042,9742.0,16009.0,858.5,-31269.0,8185.0,12139.0,35928.0,-34089.0,-15001.9978,-15035.0
27,47,74,4543.43188,,,3642.0,22466.0,-12881.0,0.0313,9383.0,16840.0,920.5,,8497.0,15160.0,36949.0,-34129.0,-13902.9978,-15515.0
27,48,75,3405.5228800000004,,,5091.0,23910.0,-15861.0,0.0265,8734.0,17190.0,1047.0,,10069.0,13680.0,38438.0,,-16882.9978,-16366.0
